employee_id,travel_type,origin,destination,departure_date,return_date,airline,hotel_name,transport_mode,distance_km
1041,taxi,SFO,JFK,2026-05-24,2026-05-31,,,taxi,
1043,hotel,DXB,DEL,2026-05-22,2026-05-24,,Marriott,,
1037,flight,FRA,DXB,2026-05-20,2026-05-21,Singapore Airlines,,,4696
1010,hotel,BOM,SFO,2026-05-18,2026-05-23,,Hyatt Place,,
1008,hotel,DEL,FRA,2026-05-16,2026-05-22,,Marriott,,
1033,flight,DEL,SFO,2026-05-14,2026-05-19,British Airways,,,9212
1007,rail,LHR,DEL,2026-05-12,2026-05-19,,,rail,
1032,flight,LHR,FRA,2026-05-10,2026-05-15,United,,,5137
1019,flight,JFK,DXB,2026-05-08,2026-05-12,United,,,
1020,hotel,SFO,DXB,2026-05-06,2026-05-07,,NH Frankfurt,,
1042,flight,DEL,BOM,2026-05-04,2026-05-05,Emirates,,,5919
1030,flight,DXB,DXB,2026-05-02,2026-05-06,Emirates,,,6692
1015,hotel,DEL,FRA,2026-04-30,2026-05-01,,NH Frankfurt,,
1055,rail,SFO,SIN,2026-04-28,2026-05-01,,,flight,
1054,flight,DXB,SFO,2026-04-26,2026-05-02,Singapore Airlines,,,1094
1035,hotel,FRA,BOM,2026-04-24,2026-04-28,,NH Frankfurt,,
1016,taxi,FRA,LHR,2026-04-22,2026-04-23,,,rail,
1041,flight,SFO,JFK,2026-04-20,2026-04-24,Singapore Airlines,,,
1027,flight,DEL,BOM,2026-04-18,2026-04-23,United,,,9041
1020,hotel,DXB,BOM,2026-04-16,2026-04-18,,Hilton,,
1048,taxi,DXB,BOM,2026-04-14,2026-04-18,,,flight,
1038,hotel,DXB,LHR,2026-04-12,2026-04-15,,NH Frankfurt,,
1019,rail,SIN,JFK,2026-04-10,2026-04-13,,,rail,
1028,flight,SIN,SFO,2026-04-08,2026-04-11,Lufthansa,,,6904
1050,hotel,SFO,BOM,2026-04-06,2026-04-07,,Hyatt Place,,
1051,taxi,LHR,LHR,2026-04-04,2026-04-05,,,rail,
1009,hotel,BOM,JFK,2026-04-02,2026-04-04,,Marriott,,
1025,flight,SFO,LHR,2026-03-31,2026-04-03,United,,,5746
1041,hotel,SIN,LHR,2026-03-29,2026-04-01,,Hilton,,
1005,flight,SIN,SFO,2026-03-27,2026-03-30,British Airways,,,8382
1047,taxi,DXB,BOM,2026-03-25,2026-03-27,,,rail,
1020,rail,LHR,DXB,2026-03-23,2026-03-27,,,rail,
1019,flight,JFK,LHR,2026-03-21,2026-03-28,British Airways,,,3479
1039,hotel,JFK,LHR,2026-03-19,2026-03-22,,Hyatt Place,,
1018,hotel,JFK,LHR,2026-03-17,2026-03-19,,Hyatt Place,,
1032,rail,FRA,BOM,2026-03-15,2026-03-20,,,rail,
1010,rail,SFO,LHR,2026-03-13,2026-03-18,,,flight,
1010,flight,LHR,FRA,2026-03-11,2026-03-12,Emirates,,,1580
1038,rail,SFO,JFK,2026-03-09,2026-03-13,,,rail,
1039,rail,DXB,DXB,2026-03-07,2026-03-13,,,rail,
1026,hotel,BOM,BOM,2026-03-05,2026-03-07,,Hyatt Place,,
1004,taxi,JFK,JFK,2026-03-03,2026-03-09,,,rail,
1049,taxi,DXB,JFK,2026-03-01,2026-03-07,,,rail,
1010,rail,SIN,LHR,2026-02-27,2026-03-05,,,taxi,
1019,hotel,BOM,SIN,2026-02-25,2026-02-28,,Hilton,,
1007,rail,JFK,SIN,2026-02-23,2026-02-27,,,flight,
1014,taxi,JFK,SFO,2026-02-21,2026-02-25,,,rail,
1048,hotel,BOM,FRA,2026-02-19,2026-02-23,,Radisson,,
1018,flight,JFK,FRA,2026-02-17,2026-02-19,United,,,5284
1023,hotel,SFO,JFK,2026-02-15,2026-02-22,,Hyatt Place,,
1033,flight,SIN,FRA,2026-02-13,2026-02-20,United,,,6935
1009,rail,DEL,DEL,2026-02-11,2026-02-12,,,flight,
1027,rail,SFO,BOM,2026-02-09,2026-02-15,,,flight,
1049,hotel,DXB,FRA,2026-02-07,2026-02-08,,Hyatt Place,,
1047,flight,SFO,JFK,2026-02-05,2026-02-11,Emirates,,,4495
1051,hotel,BOM,SIN,2026-02-03,2026-02-09,,Hilton,,
1033,flight,DEL,BOM,2026-02-01,2026-02-03,Lufthansa,,,7973
1002,rail,FRA,LHR,2026-01-30,2026-02-01,,,taxi,
1032,taxi,BOM,BOM,2026-01-28,2026-01-29,,,rail,
1020,rail,BOM,BOM,2026-01-26,2026-01-27,,,rail,
1031,taxi,BOM,LHR,2026-01-24,2026-01-27,,,rail,
1004,taxi,LHR,JFK,2026-01-22,2026-01-28,,,taxi,
1041,flight,FRA,DEL,2026-01-20,2026-01-22,Emirates,,,
1021,flight,SIN,LHR,2026-01-18,2026-01-24,Lufthansa,,,1443
1028,flight,FRA,SFO,2026-01-16,2026-01-23,United,,,2059
1022,hotel,FRA,JFK,2026-01-14,2026-01-21,,Marriott,,
1055,rail,BOM,SIN,2026-01-12,2026-01-16,,,rail,
1010,taxi,BOM,SFO,2026-01-10,2026-01-16,,,flight,
1039,taxi,SIN,FRA,2026-01-08,2026-01-11,,,flight,
