Werk,Materialkurztext,Menge,ME,Kostenstelle,Lieferant,Buchungsdatum,Kraftstoffart,WÃ¤hrung
DE01,Petrol blend,940.81,l,CC-210,Shell DE,2026/05/25,kerosene,USD
CZ12,Industrial lubricant,892.16,l,CC-210,BP Europe,2026/05/24,kerosene,EUR
DE01,Bulk LPG,255.41,tonnes,CC-330,Orlen,2026/05/23,unknown,EUR
PL07,Boiler kerosene,1257.84,KG,CC-100,Shell DE,2026/05/22,kerosene,EUR
DE02,Bulk LPG,735.41,l,CC-330,Shell DE,2026/05/21,petrol,EUR
PL07,Diesel fuel,1254.59,gal,CC-480,TotalEnergies,2026/05/20,kerosene,GBP
NL03,Industrial lubricant,891.35,gal,CC-480,BP Europe,2026/05/19,petrol,USD
DE01,Petrol blend,717.84,L,CC-100,Shell DE,2026/05/18,diesel,GBP
CZ12,Industrial lubricant,142.16,gal,CC-480,TotalEnergies,2026/05/17,unknown,GBP
DE02,Petrol blend,933.51,tonnes,CC-100,Shell DE,16.05.2026,unknown,EUR
DE02,Petrol blend,771.35,tonnes,CC-210,Orlen,2026/05/15,natural gas,EUR
PL07,Bulk LPG,850.54,tonnes,CC-100,BASF AG,2026/05/14,petrol,USD
NL03,Bulk LPG,109.73,L,CC-100,BP Europe,2026/05/13,unknown,GBP
CZ12,Boiler kerosene,57.57,tonnes,CC-100,BP Europe,2026/05/12,natural gas,GBP
DE01,Bulk LPG,950.27,KG,CC-330,BP Europe,2026/05/11,kerosene,USD
DE01,Bulk LPG,552.7,tonnes,CC-210,Orlen,2026/05/10,unknown,EUR
NL03,Bulk LPG,580,gal,CC-210,Orlen,2026/05/09,kerosene,GBP
DE02,Petrol blend,214.59,KG,CC-210,BP Europe,2026/05/08,kerosene,USD
NL03,Boiler kerosene,473.24,gal,CC-480,BP Europe,2026/05/07,diesel,GBP
DE01,Bulk LPG,588.92,gal,CC-330,Shell DE,06.05.2026,petrol,EUR
NL03,Diesel fuel,629.19,KG,CC-480,TotalEnergies,2026/05/05,unknown,EUR
DE01,Industrial lubricant,288.65,tonnes,CC-210,TotalEnergies,2026/05/04,natural gas,EUR
PL07,Bulk LPG,700,t,CC-330,BP Europe,2026/05/03,natural gas,GBP
NL03,Boiler kerosene,740.81,l,CC-100,TotalEnergies,2026/05/02,diesel,USD
PL07,Bulk LPG,491.89,l,CC-330,Orlen,2026/05/01,kerosene,EUR
DE01,Bulk LPG,187.3,KG,CC-330,TotalEnergies,2026/04/30,petrol,USD
NL03,Diesel fuel,21.35,l,CC-330,BP Europe,2026/04/29,petrol,GBP
DE02,Diesel fuel,851.35,L,CC-210,TotalEnergies,2026/04/28,unknown,GBP
