meter_id,billing_start,billing_end,kwh_usage,peak_usage,off_peak_usage,tariff_plan,utility_provider
MTR-3099,2026-05-23,2026-06-18,1371,822.6,548.4,T2-Industrial,Vattenfall
MTR-2044,2026-05-20,2026-06-19,2685,1611,1074,PeakSaver,RWE
MTR-2044,2026-05-17,2026-06-16,2692,1615.2,1076.8,GreenFlex,EnBW
MTR-4410,2026-05-14,2026-06-11,2885,1731,1154,GreenFlex,E.ON
MTR-1001,2026-05-11,2026-06-07,2727,1636.2,1090.8,T2-Industrial,RWE
MTR-1001,2026-05-08,2026-06-04,1776,1065.6,710.4,GreenFlex,E.ON
MTR-2044,2026-05-05,2026-06-02,2942,1765.2,1176.8,GreenFlex,Vattenfall
MTR-3099,2026-05-02,2026-05-29,2505,1503,1002,PeakSaver,Vattenfall
MTR-3099,2026-04-29,2026-05-30,2305,1383,922,T1-Standard,EnBW
MTR-4410,2026-04-26,2026-05-25,2599,1559.4,1039.6,GreenFlex,EnBW
MTR-4410,2026-04-23,2026-05-23,1502,901.2,600.8,T2-Industrial,Vattenfall
MTR-2044,2026-04-20,2026-05-18,1490,894,596,T2-Industrial,E.ON
MTR-2044,2026-04-17,2026-05-17,2383,1429.8,953.2,GreenFlex,EnBW
MTR-2044,2026-04-14,2026-05-10,1048,628.8,419.2,GreenFlex,EnBW
MTR-3099,2026-04-11,2026-04-21,2352,1411.2,940.8,PeakSaver,E.ON
MTR-3099,2026-04-08,2026-05-04,1265,759,506,T2-Industrial,Vattenfall
MTR-2044,2026-04-05,2026-05-04,1927,1156.2,770.8,GreenFlex,EnBW
MTR-2044,2026-04-02,2026-04-28,2994,1796.4,1197.6,T1-Standard,E.ON
MTR-4410,2026-03-30,2026-04-26,2638,1582.8,1055.2,T1-Standard,EnBW
MTR-4410,2026-03-27,2026-04-22,2052,1231.2,820.8,GreenFlex,RWE
MTR-3099,2026-03-24,2026-04-21,2747,1648.2,1098.8,T2-Industrial,EnBW
MTR-1001,2026-03-21,2026-04-16,8301,4980.6,3320.4,T2-Industrial,EnBW
MTR-2044,2026-03-18,2026-04-16,961,576.6,384.4,PeakSaver,E.ON
MTR-3099,2026-03-15,2026-04-15,2971,1782.6,1188.4,PeakSaver,E.ON
MTR-2044,2026-03-12,2026-04-10,2841,1704.6,1136.4,T1-Standard,Vattenfall
MTR-1001,2026-03-09,2026-04-09,3066,1839.6,1226.4,PeakSaver,RWE
MTR-1001,2026-03-06,2026-04-05,2083,1249.8,833.2,T2-Industrial,E.ON
MTR-4410,2026-03-03,2026-03-31,1321,792.6,528.4,T1-Standard,EnBW
MTR-3099,2026-02-28,2026-03-31,2281,1368.6,912.4,PeakSaver,EnBW
MTR-2044,2026-02-25,2026-03-07,2069,1241.4,827.6,GreenFlex,RWE
MTR-2044,2026-02-22,2026-03-20,2349,1409.4,939.6,T1-Standard,EnBW
MTR-4410,2026-02-19,2026-03-17,2307,1384.2,922.8,T2-Industrial,RWE
MTR-1001,2026-02-16,2026-03-19,,,,PeakSaver,RWE
MTR-2044,2026-02-13,2026-03-11,1576,945.6,630.4,T2-Industrial,RWE
MTR-2044,2026-02-10,2026-03-11,2869,1721.4,1147.6,GreenFlex,E.ON
MTR-1001,2026-02-07,2026-03-07,3081,1848.6,1232.4,T2-Industrial,Vattenfall
